
|| IdLog || StatusLog ||    UserAdmin   ||        Tarea        ||     IpOrigen     ||     MACOrigen     ||   AdminObj   ||      FechaInit      ||      FechaFin      ||
|| 1   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 17:07:40 ||  2022-03-18 17:07:40  ||
|| 2   || Completado || SDNTTROOT || Alta Administrador ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 17:07:40 ||  2022-03-18 17:07:40  ||
|| 3   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 17:09:27 ||  2022-03-18 17:09:27  ||
|| 4   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 20:46:38 ||  2022-03-18 20:46:38  ||
|| 5   || Completado || SDNTTROOT || Alta Administrador ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 20:46:38 ||  2022-03-18 20:46:38  ||
|| 6   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-18 20:55:51 ||  2022-03-18 20:55:51  ||
|| 7   || Completado || admin1 || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-20 13:40:26 ||  2022-03-20 13:40:26  ||
|| 8   || Completado || admin1 || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || admin1 ||  2022-03-20 13:40:34 ||  2022-03-20 13:40:34  ||
|| 9   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 13:40:56 ||  2022-03-20 13:40:56  ||
|| 10   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 13:54:06 ||  2022-03-20 13:54:06  ||
|| 11   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 13:54:34 ||  2022-03-20 13:54:34  ||
|| 12   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 13:56:54 ||  2022-03-20 13:56:54  ||
|| 13   || Completado || SDNTTROOT || Cerrar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 13:57:35 ||  2022-03-20 13:57:35  ||
|| 14   || Completado || SDNTTROOT || Iniciar Sesion ||  192.168.117.30 ||  B4:2E:99:4C:59:A0 || SDNTTROOT ||  2022-03-20 14:01:33 ||  2022-03-20 14:01:33  ||
